department,bio_gdd_spring,hydric_precip_spring,stress_heat_days,stress_shock_days,risk_frost_april,risk_wet_harvest,risk_heavy_rain_july,bio_vernalization_days,bio_aridity_index,bio_compound_stress_days,datetime,year,log_time,pred_baseline,pred_anomaly,predicted_yield
Aube,1999.4445,0.0061732205,8,0,8,0.00072139705,0,42,0.00028682352,8,2016-01-01,2016,3.5553480614894135,7.257855062181712,-0.13430444243276188,7.123550619748951
Aude,2260.4128,0.007731703,18,3,0,0.0013747647,0,50,0.00032905565,18,2016-01-01,2016,3.5553480614894135,4.754613038444925,-0.005702723137142528,4.748910315307783
Aveyron,1902.4766,0.016903983,7,0,8,0.002657203,0,50,0.0008287524,7,2016-01-01,2016,3.5553480614894135,4.572664030636555,-0.09191408463240408,4.480749946004151
Bas_Rhin,1909.9587,0.0072257956,4,0,13,0.0004466735,0,34,0.0003460171,4,2016-01-01,2016,3.5553480614894135,6.576809982282343,-0.00481479692837468,6.571995185353969
Bouches_du_Rhone,2512.1174,0.0016155074,30,2,0,0.00045679405,0,48,6.409498e-05,30,2016-01-01,2016,3.5553480614894135,3.0945071321329967,0.0037327810618203294,3.098239913194817
Calvados,1841.4229,0.0058951546,6,0,1,0.00046014637,0,50,0.00027212081,6,2016-01-01,2016,3.5553480614894135,7.195865898663277,-0.051511588651263006,7.144354310012013
Cantal,1615.188,0.017268904,0,0,13,0.0026025025,0,39,0.00094883685,0,2016-01-01,2016,3.5553480614894135,4.982243790690684,-0.18055903707942547,4.801684753611259
Charente,2234.4387,0.004997719,18,2,3,0.0003000828,0,47,0.00021620847,18,2016-01-01,2016,3.5553480614894135,5.56972672854257,0.006124035240724938,5.575850763783294
Charente_Maritime,2224.1758,0.0077407323,18,2,0,0.00082655373,0,47,0.0003241487,18,2016-01-01,2016,3.5553480614894135,6.389934587879252,-0.006714809359815586,6.383219778519437
Cher,2076.7273,0.010132645,12,0,6,0.0006805948,0,49,0.00046207703,12,2016-01-01,2016,3.5553480614894135,6.444093325560163,-0.09009435385886928,6.353998971701294
